"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Food Democracy Action","","$322,176","$0","$322,176","2016","20161121","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/ag-iowa-political-group-pay-320k-second-food-labeling-case",""
"Four Star Vending","","$1,000,000","$0","$1,000,000","2017","20171213","miscellaneous offenses","illegal gambling business","","Four Star Vending along with its owners were ordered to pay over $1 million when the owners pleaded guilty to illegal gaming and money laundering.","state","agency action","Massachusetts Attorney General","criminal","","","","","","Massachusetts","North Andover","","","","","","","","","","","https://wayback.archive-it.org/1101/20181226230953/https://www.mass.gov/news/owners-of-north-andover-company-plead-guilty-sentenced-in-connection-with-operating-illegal",""
"Google","Alphabet Inc.","$217,000","$0","$217,000","2018","20181218","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","USA","California","publicly traded","GOOG","information technology","internet services","https://www.atg.wa.gov/news/news-releases/google-facebook-pay-more-400k-washington-state-campaign-finance-cases",""
"Grocery Manufacturers Association","","$1,100,000","$0","$1,100,000","2017","20170301","miscellaneous offenses","campaign finance violation","","Failure to report association members that made contributions used to oppose a ballot initiative on genetically modified organisms, or GMOs.","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/ag-gma-pay-11m-costs-fees-historic-campaign-finance-case",""
"Grocery Manufacturers Association","","$18,000,000","$0","$18,000,000","2016","20161102","miscellaneous offenses","campaign finance violation","","Failure to report association members that made contributions used to oppose a ballot initiative on genetically modified organisms, or GMOs.","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/ag-grocery-manufacturers-assoc-pay-18m-largest-campaign-finance-penalty-us",""
"KGM Gaming, LLC","","$20,000","$0","$20,000","2012","20120202","miscellaneous offenses","casino violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","","","","","","","https://www.nj.gov/oag/newsreleases12/pr20120202c.html",""
"Latam Games, LLC","","$500,000","$0","$500,000","2019","20190620","miscellaneous offenses","data submission deficiencies","currency reporting violation","","federal","agency action","U.S. Attorney-Northern District of New York","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-ndny/pr/miami-company-sentenced-pay-500000-fine-structuring-financial-transactions",""
"Lucky Day Cyber Cafe, LLC","","$23,000","$0","$23,000","2014","20140501","miscellaneous offenses","illegal gambling business","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","Revere","","","","","","","","","","","https://web.archive.org/web/20140709014644/http://www.mass.gov/ago/news-and-updates/press-releases/2014/2014-05-01-kelley-symmes-plea.html",""
"Master Builders Association of King and Snohomish Counties","","$190,000","$0","$190,000","2010","20101101","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/attorney-general-s-office-settles-master-builders-association-king-and-snohomish",""
"Missouri Republican Party","","$60,000","$0","$60,000","2003","20030801","miscellaneous offenses","illicit political contributions","","The Missouri Republican Party agreed to pay $182,675 ($122,675 suspended) to settle the alleged excess contributions it made to two candidates for state offices in violation of the Missouri campaign contribution limits.","state","agency action","Missouri Attorney General","civil","","","","","","Missouri","","","","","","","","","","","","https://web.archive.org/web/20041215122836/http://www.ago.state.mo.us/newsreleases/2003/080103.htm",""
"Mountain West Research Center","","$20,000","$0","$20,000","2010","20101015","miscellaneous offenses","campaign finance violation","","","state","agency action","New Hampshire Attorney General","civil","","","","","","New Hampshire","","","","","","","","","","","","https://web.archive.org/web/20141225095218/http://www.doj.nh.gov/media-center/press-releases/2010/20101015-mountain-west.htm",""
"Moxie Media","","$150,000","$0","$150,000","2011","20111216","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/attorney-general-s-office-settles-suit-against-moxie-media-principals-political",""
"Narong Seafood Company, Ltd.","","$10,000","$0","$10,000","2012","20121018","miscellaneous offenses","intellectual property violation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","","","","","","","https://web.archive.org/web/20121117201333/http://www.mass.gov/ago/news-and-updates/press-releases/2012/2012-10-18-narong-seafood-co.html",""
"National College","","$147,000","$0","$147,000","2014","20140625","miscellaneous offenses","civil contempt","","National College was fined $147,000 for failing to comply with a subpoena issued by the Office of the Attorney General to provide information for an investigation of for-profit schools.","state","agency action","Kentucky Attorney General","civil","","","","","","Kentucky","","","","","","","","","","","","https://kentucky.gov/Pages/Activity-stream.aspx?n=AttorneyGeneral&prId=424",""
"National Education Association","","$85,000","$0","$85,000","2010","20101021","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/national-education-association-pay-85000-settle-eight-year-old-suit",""
"New England Internet Caf?s, LLC","","$100,000","$0","$100,000","2012","20120831","miscellaneous offenses","illegal gambling business","","New England Internet Cafe and its owners pleaded guilty to charges of illegal gambling. As a condition of the plea, the judge ordered that 100 percent of NEIC's assets, over $100,000, be forfeited to the Commonwealth.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","Fall River","","","","","","","","","","","https://web.archive.org/web/20120908093643/http://www.mass.gov/ago/news-and-updates/press-releases/2012/2012-08-31-leos-place-plea-sentencing.html",""
"New Hampshire Democratic Party","","$5,000","$0","$5,000","2011","20110830","miscellaneous offenses","campaign finance violation","","","state","agency action","New Hampshire Attorney General","civil","","","","","","New Hampshire","","","","","","","","","","","","https://web.archive.org/web/20130618064138/http://doj.nh.gov/media-center/press-releases/2011/20110831-democratic-agreement.htm",""
"Outback Arms","","$7,000","$0","$7,000","2018","20180222","miscellaneous offenses","firearms violation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","Plympton","","","","","","","","","","","https://wayback.archive-it.org/1101/20181226230105/https://www.mass.gov/news/gun-dealer-in-plympton-agrees-to-end-illegal-sales-practices",""
"Pacific Surimi LLC","","$800,000","$0","$800,000","2002","20020807","miscellaneous offenses","theft","","Pacific Surimi LLC, a seafood processing corporation with a plant in Warrenton, Oregon was found guilty on charges of theft in the first degree following the entry of a no contest in a case involving its purchases from Oregon fishermen.","state","agency action","Oregon Attorney General","criminal","","","","","","Oregon","Warrenton","","","","","","","","","","","https://web.archive.org/web/20111209115714/http://www.doj.state.or.us/releases/2002/rel080702b.shtml",""
"Ryco, Inc.","","$429,000","$0","$429,000","2013","20131223","miscellaneous offenses","Buy America requirements","","","state","agency action","Pennsylvania Attorney General","civil","","","","","","Pennsylvania","McKeesport","","","","","","","","","","","Attorney General Announces $429,000 Settlement from McKeesport Firm's Illegal Use of Foreign-Made Steel, Targeted News Service, December 23, 2013 (via Nexis).",""
"Service Employees International Healthcare 775NW","","$39,000","$0","$39,000","2016","20160129","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/seiu-pay-more-39000-after-ag-lawsuit-over-campaign-finance-reporting-deficiencies",""
"Service Employees International Union Leadership Council 14","","$250,000","$0","$250,000","2019","20190219","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/seiu-state-council-pay-250000-over-campaign-finance-violations",""
"Service Employees International Union Local 925","","$31,715","$0","$31,715","2016","20160208","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/seiu-925-pay-nearly-32000-after-ag-lawsuit-over-campaign-finance-reporting",""
"Spokane County Democratic Central Committee","","$47,300","$0","$47,300","2018","20181224","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/spokane-county-democrats-pay-nearly-50000-over-campaign-finance-violations",""
"SportsHub Games Network, Inc.","","$30,000","$0","$30,000","2019","20190822","miscellaneous offenses","illegal gambling business","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","","","","","","","https://www.nj.gov/oag/newsreleases19/pr20190827a.html",""
"The Advance Group","","$26,000","$0","$26,000","2015","20151008","miscellaneous offenses","campaign finance violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","","","","","","","https://web.archive.org/web/20170716130512/https://ag.ny.gov/press-release/ag-schneiderman-settles-investigation-advance-group-over-improper-coordination-between",""
"The Gun Parlor, Inc.","","$10,000","$0","$10,000","2017","20170109","miscellaneous offenses","firearms violation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","Worcester","","","","","","","","","","","https://web.archive.org/web/20170208042204/http://www.mass.gov/ago/news-and-updates/press-releases/2017/worcester-gun-dealer-agrees-to-end-illegal-firearm-sales.html",""
"Tropicana Casino & Resort","Gaming and Leisure Properties Inc.","$15,000","$0","$15,000","2011","20110902","miscellaneous offenses","casino violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","Atlantic City","","","","","USA","Pennsylvania","publicly traded","GLPI","real estate","real estate and entertainment","https://www.nj.gov/oag/newsreleases11/pr20110902b.html",""
"Trump Marina Hotel and Casino","Landry's","$35,000","$0","$35,000","2012","20120202","miscellaneous offenses","casino violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","Atlantic City","","","","","USA","Texas","privately held","","restaurants and foodservice","restaurants","https://www.nj.gov/oag/newsreleases12/pr20120202c.html",""
"United Keetoowah Band of Cherokee Indians","","$2,000,000","$0","$2,000,000","2012","20120608","miscellaneous offenses","illegal gambling business","","","state","agency action","Oklahoma Attorney General","civil","","","","","","Oklahoma","","","","","","","","","","","","https://web.archive.org/web/20170109001420/https://www.ok.gov/triton/modules/newsroom/newsroom_article.php?id=258&article_id=16247",""
"Washington Budget & Policy Center","","$30,545","$0","$30,545","2017","20170717","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/washington-budget-policy-center-pay-30545-over-campaign-finance-violations",""
"Washington Education Association","","$975,000","$0","$975,000","2008","20081203","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/state-and-wea-announce-union-fee-settlement",""
"Washington State Association for Justice","","$9,240","$0","$9,240","2016","20160715","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/washington-association-justice-pay-9000-over-campaign-finance-reporting",""
"Washington State Labor Council","","$16,622","$0","$16,622","2016","20160923","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/washington-state-labor-council-pay-26k-over-campaign-finance-violations",""
"Washington State Republican Party","","$25,000","$0","$25,000","2010","20101119","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/attorney-general-s-office-settles-washington-state-republican-party",""
"We Care Company","","$30,000","$0","$30,000","2007","20070605","miscellaneous offenses","firearms violation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","","","","","","","Attorney General Martha Coakley Obtains Judgmen Against Online Weapons Retailer, States News Service, June 5, 2007 (via Nexis).",""
"Dannenbaum Engineering Corporation","","$1,600,000","$0","$1,600,000","2019","20191122","miscellaneous offenses","campaign finance violation","","A major Houston, Texas-based civil engineering company and its parent company agreed to enter into a three-year deferred prosecution agreement in connection with a criminal information charging the company with violating the Federal Election Campaign Act. As part of the agreement, Dannenbaum Engineering Corporation and its parent company Engineering Holding Corporation agreed to pay a $1.6 million criminal fine for its involvement in a multi-year conduit contribution scheme.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/houston-engineering-corporation-enters-corporate-resolution-and-agrees-pay-16-million-fine",""
"Ahern Painting Contractors","","$3,000,000","$0","$3,000,000","2019","20191101","miscellaneous offenses","false statements","","","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-settles-fraud-suit-against-ahern-painting-contractors-false",""
"All Vision LLC","","$2,850,000","$0","$2,850,000","2019","20191010","miscellaneous offenses","false statements","fraud","All Vision agreed to pay $2.85 million to settle allegations that the company made false statements and improperly withheld money owed to the United States Postal Service in connection with the company's marketing and management of various commercial outdoor advertising licenses. ","federal","agency action","U.S. Attorney-District of Colorado","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-co/pr/billboard-licensing-company-pays-285-million-resolve-allegations-it-defrauded-postal",""
"Miroglio Textile S.R.L.","","$650,000","$0","$650,000","2019","20190912","miscellaneous offenses","customs duty evasion","","","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-sdny/pr/us-attorney-announces-settlement-civil-fraud-claims-against-italian-textile-company",""
"Enco Industries, Inc.","","$83,717","$0","$83,717","2019","20190911","miscellaneous offenses","false statements","","","federal","agency action","U.S. Attorney-District of New Hampshire","civil","","","","","","New Hampshire","","","","","","","","","","","","https://www.justice.gov/usao-nh/pr/government-contractor-sentenced-probation-and-ordered-repay-more-83000",""
"Icon Telecom Inc.","","$15,047,090","$0","$15,047,090","2015","20150402","miscellaneous offenses","false statements","","","federal","agency action","U.S. Attorney-Western District of Oklahoma","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-wdok/pr/icon-telecom-and-its-owner-sentenced-money-laundering-and-making-false-statements",""
"Unico Inc.","","$500,000","$0","$500,000","2013","20130131","miscellaneous offenses","false statements","","","federal","agency action","U.S. Attorney-Southern District of California","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-sdca/pr/san-diego-company-admits-misleading-sec-part-settlement-agreement-unico-inc-agreed-pay",""
"Holy Land Foundation For Relief and Development","","$12,400,000","$0","$12,400,000","2009","20090527","miscellaneous offenses","money laundering","","","federal","agency action","U.S. Attorney-Northern District of Texas","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/federal-judge-hands-downs-sentences-holy-land-foundation-case",""
"United Bank for Africa PLC","","$5,334,331","$0","$5,334,331","2007","20070706","miscellaneous offenses","obstruction of justice","","","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/usao/nys/pressreleases/July07/unitedbankforafricaagreementpr.pdf",""
"Racing Services Inc.","","$99,013,200","$0","$99,013,200","2007","20070306","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-District of North Dakota","criminal","","","","","","","","","","","","","","","","","","http://lib.law.virginia.edu/Garrett/corporate-prosecution-registry/dockets/RacingServices.html",""
"Power Co. Inc.","","$10,500,400","$0","$10,500,400","2007","20070126","miscellaneous offenses","racketeering","","","federal","agency action","U.S. Attorney-District of Nevada","criminal","","","","","","","","","","","","","","","","","","http://lib.law.virginia.edu/Garrett/corporate-prosecution-registry/dockets/Power.html",""
"Mantra Films Inc. and MRA Holdings Inc.","","$1,600,000","$0","$1,600,000","2006","20060912","miscellaneous offenses","sexual exploitation of minors","","Mantra Films pleaded guilty; MRS Holdings received a deferred prosecution agreement.","federal","agency action","U.S. Attorney-Northern District of Florida","civil and criminal","plea and deferred prosecution agreement","","","","settlement","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2006/September/06_crm_610.html",""
"Citizen Solutions","","$889,755","$0","$889,755","2019","20190930","miscellaneous offenses","campaign finance violation","","","state","agency action","Washington Attorney General","civil","","","","","","","","","","","","","","","","","","https://www.atg.wa.gov/news/news-releases/eyman-associates-ordered-pay-1-million-ag-campaign-finance-case",""
"Southern Ohio Gun Distributors, Inc.","","$50,000","$0","$50,000","2003","20030821","miscellaneous offenses","firearms violation","","","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2003/08/21/california-cities-settlement-with-gun-industry-distributors-dealers-to-include-major-distribution-reforms-payment/",""
"Traders Sports","","$20,000","$0","$20,000","2003","20030821","miscellaneous offenses","firearms violation","","","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2003/08/21/california-cities-settlement-with-gun-industry-distributors-dealers-to-include-major-distribution-reforms-payment/",""
"Fuel","","$1,800,000","$0","$1,800,000","2011","20110810","miscellaneous offenses","zoning violation","","The Los Angeles City Attorney secured a $1.8 million settlement from an advertising agency in a case surrounding a dispute over more than a dozen supergraphics and 500-plus poster-sized signs around the city.","local","agency action","Los Angeles (CA) City Attorney","civil","","","","","settlement","California","Los Angeles","","","","","","","","","","","Judge Approves $1.8M Settlement With Billboard Company, City News Service, August 10, 2011 (via Nexis).",""
"Clear Channel Outdoor","iHeartMedia","$30,000","$0","$30,000","2005","20051006","miscellaneous offenses","campaign finance violation","","Clear Channel Outdoor agreed to pay $30,000 in fines for failing to properly disclose its role in providing billboards touting candidates.","local","agency action","Los Angeles (CA) City Attorney","civil","","","","","settlement","California","Los Angeles","","","","","USA","Texas","publicly traded","IHRTQ","media","broadcasting","Billboard Firm to Be Fined for Political Effort; Clear Channel Outdoor agrees to pay $30,000 for not disclosing that it independently backed Rocky Delgadillo and other L.A. candidates, Los Angeles Times, October 6, 2005 (via Nexis).",""
"Youbet.com Inc.","","$1,308,250","$0","$1,308,250","2000","20000114","miscellaneous offenses","illegal gambling business","","Youbet.com agreed to pay over $1.3 million in settlement of allegations it violated state laws against unfair competition and false advertising by offering illegal computer-based off-track betting.","local","agency action","Los Angeles County (CA) District Attorney","civil","","","","","settlement","California","","","","","","","","","","","","https://web.archive.org/web/20020619123614/http://da.co.la.ca.us/mr/2000/011400b.htm",""
"Toa Construction Co. Inc.","","$1,100,000","$0","$1,100,000","2009","20090523","miscellaneous offenses","zoning violation","","","local","agency action","New York City Corporation Counsel","civil","","","","","settlement","New York","New York","","","","","","","","","","","City Receives Record $1.1 Million Settlement Payment Over Owners' Failure to Maintain Landmarked Windmere Apartment Complex on Manhattan's Upper West Side, US State News, May 23, 2009 (via Nexis).",""
"DV Biologics and DaVinci Biosciences","","$7,785,000","$0","$7,785,000","2017","20171211","miscellaneous offenses","fetal tissue violation","","Two bioscience companies reached a $7.8 million settlement with the Orange County District Attorney's office over allegations that they illegally sold fetal tissue to companies around the world.","local","agency action","Orange County (CA) District Attorney","civil","","","","","settlement","California","","","","","","","","","","","","CITY & STATE; Firms accused in fetal tissue sales suit settle, Los Angeles Times, December 11, 2017 (via Nexis).",""
"Northpark SD LLC and SD Observatory, LLC","","$140,000","$0","$140,000","2019","20190712","miscellaneous offenses","zoning violation","","Northpark SD and SD Observatory, operators of the Observatory North Park concert venue, agreed to pay $140,000 in settlement of allegations they maintained a public nuisance and operated without required permits.","local","agency action","San Diego (CA) City Attorney","civil","","","","","settlement","California","San Diego","","","","","","","","","","","https://www.sandiego.gov/sites/default/files/nr190712a.pdf",""
"1735 Garnet, LLC","","$200,000","$0","$200,000","2017","20171101","miscellaneous offenses","zoning violation","","1735 Garnet, LLC and its owner were ordered to pay $200,000 civil penalties stemming from allegations it allowed a marijuana dispensary to lease property in violation of zoning laws.","local","agency action","San Diego (CA) City Attorney","civil","","","","","verdict","California","San Diego","","","","","","","","","","","https://www.sandiego.gov/sites/default/files/nr171101a1.pdf",""
"North County Holistic, Inc.","","$600,000","$0","$600,000","2016","20160527","miscellaneous offenses","zoning violation","","North County Holistic, Inc. was ordered to pay $600,000 to resolve allegations it operated a marijuana dispensary that was in violation of local zoning laws.","local","agency action","San Diego (CA) City Attorney","civil","","","","","verdict","California","San Diego","","","","","","","","","","","https://www.sandiego.gov/sites/default/files/nr160531a.pdf",""
"SoCal Holistic Health, Inc.","","$1,836,065","$0","$1,836,065","2015","20151202","miscellaneous offenses","zoning violation","","SoCal Holistic Health, Inc. was ordered to pay civil penalties for operating a pot shop in violation of City zoning laws.","local","agency action","San Diego (CA) City Attorney","civil","","","","","verdict","California","San Diego","","","","","","","","","","","https://www.sandiego.gov/sites/default/files/nr151202a.pdf",""
"The Nobel Family Trust and the Abeles Family Trust","","$121,800","$0","$121,800","2014","20140829","miscellaneous offenses","zoning violation","","The Nobel Family Trust and the Abeles Family Trust were ordered to pay a total of $120,000 in civil penalties and $1,800 in costs for violating zoning laws by leasing property to a marijuana dispensary.","local","agency action","San Diego (CA) City Attorney","civil","","","","","verdict","California","San Diego","","","","","","","","","","","https://www.sandiego.gov/sites/default/files/nr140908.pdf",""
"Town & Country Resort Hotel and Convention Center","","$1,000,000","$0","$1,000,000","2007","20070408","miscellaneous offenses","zoning violation","","A hotel in Mission Valley agreed to pay fines, make repairs and donate an open-space easement along the San Diego River to make amends for what regulators said was a parking lot constructed illegally next to the waterway in late 2005.","local","agency action","San Diego (CA) City Attorney","civil","","","","","settlement","California","Mission Valley","","","","","","","","","","","Hotel will pay fines for work by river; Town & Country parking lot at issue, San Diego Union-Tribune, April 8, 2007 (via Nexis).",""
"San Diego African-American Sports Association","","$5,000","$0","$5,000","2006","20060721","miscellaneous offenses","false statements","","","local","agency action","San Diego (CA) City Attorney","civil","","","","","settlement","California","San Diego","","","","","","","","","","","Operator of football game will pay fines; Group pleads guilty to filing false claim, San Diego Union-Tribune, July 21, 2006 (via Nexis).",""
"Cheetahs","","$15,000","$0","$15,000","2004","20040309","miscellaneous offenses","zoning violation","","","local","agency action","San Diego (CA) City Attorney","civil","","","","","settlement","California","San Diego","","","","","","","","","","","Cheetahs agrees to pay $15,000 to city to settle illegal-sign suit, San Diego Union-Tribune, March 9, 2004 (via Nexis).",""
"Lexamark Building, LLC","","$600,000","$0","$600,000","2018","20180517","miscellaneous offenses","zoning violation","","Lexamark Building, LLC agreed to pay $600,000 in settlement of allegations it rented the basement of a laundromat to multiple tenants without permits and in conditions that violated multiple public health and safety laws.","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2018/05/17/herrera-secures-620000-landlords-housed-tenants-unsafe-dungeon-like-basement/",""
"Academy of Art University","","$60,000,000","$0","$60,000,000","2016","20161219","miscellaneous offenses","zoning violation","environmental violation","Academy of Art University agreed to pay an estimated $60 million ($20 million in penalties and fees, and units of affordable housing valued at $40 million) in settlement of allegations it had ignored city land use rules, with multiple violations for violations of zoning, signage, environmental, historical preservation and building code requirements.","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2016/12/19/herrera-secures-landmark-settlement-valued-60-million-academy-art-university/",""
"Figure 8","","$25,000","$0","$25,000","2014","20140130","miscellaneous offenses","illegal gambling business","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2014/01/30/illegal-gambling-cafe-to-close-as-gambling-software-company-ends-business-statewide/",""
"Razan Deli","","$80,000","$0","$80,000","2012","20120716","miscellaneous offenses","zoning violation","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2012/07/16/herrera-secures-30000-penalty-tough-injunctions-in-tenderloin-market-drug-case/",""
"House of Cigarettes","","$5,000","$0","$5,000","2011","20110624","miscellaneous offenses","zoning violation","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2011/06/24/herrera-settles-smoke-shops-litigation-with-tough-injunctions-penalties/",""
"Rock On","","$11,000","$0","$11,000","2011","20110624","miscellaneous offenses","zoning violation","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2011/06/24/herrera-settles-smoke-shops-litigation-with-tough-injunctions-penalties/",""
"The Plantinum","","$5,000","$0","$5,000","2011","20110624","miscellaneous offenses","zoning violation","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2011/06/24/herrera-settles-smoke-shops-litigation-with-tough-injunctions-penalties/",""
"Tobacco Plaza Center Smoke & Gift Shop","","$5,000","$0","$5,000","2011","20110624","miscellaneous offenses","zoning violation","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2011/06/24/herrera-settles-smoke-shops-litigation-with-tough-injunctions-penalties/",""
"Taliesin Entertainment Group, LLC","","$20,000","$0","$20,000","2010","20101020","miscellaneous offenses","zoning violation","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2010/10/20/herrera-secures-injunction-to-permanently-bar-club-suede-operators-from-re-opening-a-place-of-entertainment/",""
"CitiApartments","","$50,129","$0","$50,129","2010","20100202","miscellaneous offenses","civil contempt","","","local","agency action","San Francisco (CA) City Attorney","civil","","","","","settlement","California","San Francisco","","","","","","","","","","","https://www.sfcityattorney.org/2010/02/02/herrera-wins-court-sanctions-against-citiapartments-for-obfuscation-delay/",""
"Texas Association of Business","","$10,000","$0","$10,000","2008","20081021","miscellaneous offenses","illicit political contributions","","","local","agency action","Travis County (TX) District Attorney","criminal","","","","","verdict","Texas","","","","","","","","","","","","https://www.traviscountytx.gov/images/district_attorney/docs/Press_Releases/Archives/2008/TAB_PrsRlsFinal.pdf",""
"U.S. Hispanic Contractors Association","","$6,000","$0","$6,000","2005","20051028","miscellaneous offenses","illicit political contributions","","","local","agency action","Travis County (TX) District Attorney","criminal","","","","","verdict","Texas","","","","","","","","","","","","Contractors gave cash illegally; Group pleads guilty in Democrat donation case, says it didn't grasp ban, Austin American-Statesman, October 28, 2005 (via Nexis).",""
"SN Servicing Corp.","","$100,000","$0","$100,000","2019","20190116","miscellaneous offenses","zoning violation","","The Department of Financial Services fined SN Servicing Corp., a New York State-registered mortgage loan servicer, $100,000 for failing to maintain two properties in Gloversville, N.Y., under New York's Abandoned Property Relief Act, which requires banks and mortgage services to fulfill certain maintenance obligations at so-called zombie properties. ","state","agency action","New York Department of Financial Services","civil","","","","","","New York","Gloversville","","","","","","","","","","","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1901161",""
